checked_out_on,library_card,accession
5/4/2012 14:49:43,0018,18992834
5/4/2012 14:49:43,0018,18992834
5/4/2012 14:50:11,0054,30135222
5/7/2012 10:06:31,0091,30123608
5/7/2012 10:52:37,0149,30076210
5/7/2012 11:33:11,0016,30122915
5/7/2012 11:33:17,0016,30122915
5/7/2012 12:42:27,0097,30045280
5/7/2012 12:42:44,0097,30045280
5/7/2012 12:43:13,0018,30107569
5/7/2012 12:45:30,0040,30132807
5/7/2012 12:46:35,0040,30110464
5/7/2012 12:50:27,0019,18991414
5/7/2012 12:50:48,0019,18991497
5/7/2012 12:51:10,0108,30134183
5/7/2012 12:51:36,0016,30123749
5/7/2012 12:53:45,0015,30075378
5/7/2012 13:00:33,0015,30067516
5/7/2012 13:00:45,0015,30136113
5/7/2012 13:00:55,0015,30127997
5/7/2012 13:02:32,0016,30140164
5/7/2012 13:03:09,0024,30042907
5/7/2012 13:03:17,0024,30135792
5/7/2012 13:03:23,0024,30140156
5/7/2012 13:03:42,0001,30108070
5/7/2012 13:03:46,0001,30042238
5/7/2012 13:03:52,0001,19873876
5/7/2012 13:04:01,0040,22219117
5/7/2012 13:04:12,0001,19875442
5/7/2012 13:06:27,0091,30072474
5/7/2012 13:11:32,0085,30131478
5/7/2012 13:28:28,0115,30110191
5/7/2012 13:28:49,0115,30110191
5/7/2012 13:29:27,0115,30139653
5/7/2012 14:09:50,0079,18991216
5/7/2012 14:10:09,0079,30052351
5/7/2012 14:10:24,0037,30121792
5/7/2012 14:11:17,0062,30097653
5/7/2012 14:12:10,0099,30124499
5/7/2012 14:12:58,0102,30138978
5/7/2012 14:13:47,0102,30126817
5/7/2012 14:13:58,0102,30124051
5/7/2012 14:14:08,0102,30133557
5/7/2012 14:14:29,0102,30133557
5/7/2012 14:14:50,0083,30066005
5/7/2012 14:15:07,0059,30108872
5/7/2012 14:52:12,0198,30040554
5/7/2012 14:52:27,0198,22219604
5/7/2012 14:52:38,0198,30017966
5/8/2012 8:55:40,0214,30002455
5/8/2012 8:56:04,0214,30003990
5/8/2012 8:57:29,0214,19003375
5/8/2012 8:58:04,0214,22234231
5/8/2012 10:10:53,0185,30082853
5/8/2012 10:10:59,0185,30082853
5/8/2012 10:14:03,0198,22232862
5/8/2012 11:50:27,0083,22222384
5/8/2012 11:50:32,0083,22222384
5/8/2012 11:50:50,0058,19878792
5/8/2012 12:37:54,0095,30080857
5/8/2012 12:40:06,0088,30065171
5/8/2012 12:40:21,0088,30073779
5/8/2012 12:41:12,0070,30131544
5/8/2012 12:42:26,0004,30139521
5/8/2012 12:43:58,0109,18994624
5/8/2012 12:53:53,0054,30093322
5/8/2012 12:57:21,0074,30132385
5/8/2012 12:58:36,0228,30120950
5/8/2012 12:59:42,0021,30138705
5/8/2012 12:59:54,0021,30124515
5/8/2012 13:00:14,0043,30130439
5/8/2012 13:00:44,0006,30118046
5/8/2012 13:01:03,0052,30115224
5/8/2012 13:01:18,0052,30092332
5/8/2012 13:01:39,0033,30132872
5/8/2012 13:02:14,0104,19890185
5/8/2012 13:04:03,0110,30088439
5/8/2012 13:50:49,0139,30106140
5/8/2012 13:50:53,0139,30106140
5/8/2012 14:04:01,0130,30108864
5/8/2012 14:04:06,0130,30108864
5/8/2012 14:09:57,0180,30096424
5/8/2012 14:12:17,0159,30077358
5/8/2012 14:12:37,0137,30050603
5/8/2012 14:12:53,0131,30047971
5/8/2012 14:16:32,0119,30128870
5/8/2012 14:16:49,0161,18995555
5/8/2012 14:17:04,0177,30139067
5/8/2012 14:19:54,0152,30137079
5/8/2012 14:47:14,0125,30135370
5/8/2012 14:49:29,0141,30117824
5/9/2012 10:10:27,0131,30134241
5/9/2012 10:10:31,0131,30134241
5/9/2012 11:39:30,0185,30131841
5/9/2012 12:46:17,0115,30091706
5/9/2012 12:47:30,0107,30136600
5/9/2012 12:49:32,0005,30043970
5/9/2012 12:50:31,0005,22217889
5/9/2012 12:51:18,0117,30128573
5/9/2012 12:51:24,0106,30117691
5/9/2012 12:51:46,0077,30138770
5/9/2012 12:58:20,0022,30138416
5/9/2012 12:58:39,0022,30044887
5/9/2012 12:58:56,0022,30117816
5/9/2012 12:59:37,0022,19003219
5/9/2012 13:02:23,0080,30055420
5/9/2012 13:03:17,0041,19880897
5/9/2012 13:03:32,0041,30053771
5/9/2012 13:03:53,0041,30045264
5/9/2012 13:04:38,0116,30133532
5/9/2012 13:04:53,0068,30138242
5/9/2012 13:18:11,0130,30130165
5/9/2012 13:25:49,0071,30128896
5/9/2012 14:04:12,0144,30139844
5/9/2012 14:04:43,0123,30116255
5/9/2012 14:08:17,0174,30119515
5/9/2012 14:08:53,0141,30106777
5/9/2012 14:15:52,0167,30133359
5/9/2012 14:16:10,0174,30131718
5/9/2012 14:18:11,0127,30135412
5/9/2012 14:25:47,0160,30121917
5/9/2012 14:25:52,0160,30121917
5/10/2012 8:30:17,0200,30037295
5/10/2012 8:30:39,0200,30139703
5/10/2012 8:58:14,0137,30118590
5/10/2012 8:58:51,0137,30118590
5/10/2012 8:59:04,0201,30042626
5/10/2012 8:59:15,0201,30123731
5/10/2012 8:59:29,0026,30117525
5/10/2012 11:04:34,0007,30034623
5/10/2012 11:05:18,0007,30034623
5/10/2012 11:05:19,0007,30034623
5/10/2012 11:10:01,0193,30139216
5/10/2012 11:10:01,0193,30027791
5/10/2012 11:14:28,0029,30133359
5/10/2012 11:14:51,0009,30108757
5/10/2012 11:16:02,0011,22232466
5/10/2012 11:16:19,0048,19873306
5/10/2012 11:16:40,0048,22217665
5/10/2012 11:17:03,0050,30120059
5/10/2012 11:17:16,0050,30135610
5/10/2012 11:17:25,0008,30115471
5/10/2012 11:47:38,0008,30112486
5/10/2012 12:44:50,0085,30111165
5/10/2012 12:47:32,0117,30137079
5/10/2012 12:47:37,0117,30137079
5/10/2012 12:58:42,0095,30125892
5/10/2012 12:58:47,0095,30125892
5/10/2012 13:01:02,0087,30031504
5/10/2012 13:02:56,0025,30118517
5/10/2012 13:04:18,0023,30113740
5/10/2012 13:04:50,0023,30139042
