timestamp,library_card,accession
4/12/12 11:15,28,30096234
4/16/12 15:44,198,30095665
4/23/12 14:15,83,30094718
4/16/12 13:54,95,30094437
4/24/12 12:56,95,30094437
4/4/12 12:59,68,30094379
4/17/12 14:21,122,30093942
4/18/12 13:10,75,30093371
4/12/12 14:39,152,30093355
4/12/12 14:03,140,30092605
4/5/12 13:40,100,30092530
4/3/12 12:54,43,30092282
4/17/12 10:02,25,30092225
4/12/12 13:22,177,30091912
4/5/12 12:41,23,30091664
4/13/12 14:17,38,30091664
4/3/12 14:10,126,30091615
4/3/12 8:16,184,30091334
4/3/12 13:59,129,30090849
4/3/12 14:00,129,30090849
4/3/12 8:13,184,30090047
4/18/12 10:05,184,30089718
4/12/12 13:34,175,30089627
4/10/12 12:05,184,30089239
4/5/12 13:44,125,30089155
4/4/12 10:29,63,30088918
4/4/12 10:28,63,30088850
4/4/12 10:29,63,30088793
4/6/12 13:46,129,30088736
4/6/12 13:46,129,30088736
4/4/12 10:28,63,30088264
4/9/12 13:59,108,30088066
4/12/12 14:08,147,30087589
4/12/12 11:12,46,30086813
4/19/12 11:18,48,30086581
4/23/12 12:44,52,30085500
4/9/12 12:52,18,30085070
4/16/12 15:44,198,30085039
4/24/12 14:14,119,30084875
4/11/12 9:14,62,30084834
4/19/12 12:51,42,30084388
4/24/12 14:36,182,30084347
4/12/12 13:34,175,30083661
4/10/12 13:06,74,30083216
4/10/12 13:06,74,30083216
4/5/12 13:09,162,30082903
4/12/12 12:32,95,30082465
4/12/12 12:32,95,30082465
4/23/12 12:50,55,30082408
4/18/12 12:56,22,30082390
4/18/12 12:57,22,30082333
4/17/12 10:02,25,30082242
4/4/12 11:44,201,30082200
4/12/12 14:04,137,30082143
4/4/12 13:31,217,30082143
4/12/12 13:08,88,30081715
4/3/12 14:21,58,30081582
4/18/12 12:58,22,30081533
4/12/12 11:11,48,30081368
4/6/12 14:08,15,30081038
4/16/12 14:18,79,30080899
4/6/12 14:17,52,30080659
4/16/12 14:15,59,30080659
4/19/12 11:17,29,30080592
4/4/12 12:45,102,30080592
4/6/12 14:07,19,30080527
4/6/12 14:17,52,30080469
4/6/12 14:17,52,30080410
4/19/12 11:17,29,30080352
4/16/12 14:15,59,30080345
4/4/12 12:45,102,30080345
4/12/12 11:13,46,30080089
4/6/12 14:08,19,30079727
4/3/12 14:03,169,30079248
4/3/12 14:03,169,30079248
4/5/12 13:09,68,30079180
4/12/12 14:08,145,30078885
4/16/12 12:42,108,30078810
4/4/12 11:46,201,30078752
4/5/12 11:12,8,30078646
4/12/12 11:14,48,30078612
4/12/12 11:14,48,30078554
4/13/12 14:15,16,30078547
4/16/12 14:15,59,30078273
4/16/12 14:14,101,30078216
4/24/12 14:36,182,30077903
4/3/12 8:13,184,30077754
4/4/12 12:37,14,30077747
4/16/12 14:15,59,30077747
4/3/12 8:18,184,30077697
4/5/12 12:41,23,30077630
4/10/12 12:20,25,30077630
4/9/12 12:52,18,30077614
4/6/12 14:16,17,30077044
4/18/12 12:38,108,30076509
4/9/12 10:18,25,30075089
4/16/12 10:15,25,30075089
4/13/12 13:26,160,30074207
4/13/12 13:26,160,30074207
4/3/12 13:00,21,30073860
4/23/12 13:15,115,30073779
4/12/12 14:08,147,30073670
4/12/12 14:08,147,30073670
4/4/12 13:11,125,30072755
4/3/12 13:06,111,30072599
4/5/12 11:51,47,30072573
4/13/12 13:35,131,30071914
4/9/12 14:20,82,30071856
4/12/12 11:17,12,30071088
4/5/12 11:07,8,30070908
4/16/12 15:44,198,30070668
4/3/12 8:15,184,30070197
4/16/12 12:41,108,30069181
4/5/12 9:08,175,30068951
4/16/12 12:42,108,30068894
4/5/12 12:59,113,30068647
4/3/12 14:10,167,30068498
4/13/12 13:41,174,30068498
4/20/12 14:55,150,30068472
4/19/12 11:02,10,30067979
4/4/12 12:42,95,30067888
4/16/12 14:13,100,30067854
4/24/12 12:45,88,30067706
4/6/12 13:46,129,30065684
4/12/12 11:12,29,30065593
4/16/12 14:21,61,30065528
4/12/12 11:11,30,30065486
4/13/12 13:42,127,30064851
4/13/12 13:33,153,30064794
4/18/12 12:54,5,30062830
4/3/12 13:02,43,30061261
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/16/12 14:07,66,30061014
4/23/12 14:09,62,30060743
4/18/12 12:53,5,30059745
4/17/12 14:13,175,30059596
4/12/12 13:25,161,30059489
4/3/12 11:55,207,30059299
4/3/12 13:56,150,30059083
4/23/12 14:09,62,30059059
4/23/12 13:14,228,30058986
4/16/12 14:20,58,30058853
4/4/12 12:38,76,30058762
4/13/12 14:20,17,30058614
4/5/12 13:44,125,30056865
4/3/12 8:19,184,30056824
4/10/12 14:13,194,30056691
4/3/12 8:17,184,30054829
4/11/12 10:08,16,30053862
4/23/12 14:16,83,30053334
4/4/12 11:45,201,30052765
4/3/12 8:17,184,30052708
4/3/12 14:09,150,30052625
4/3/12 8:14,184,30052211
4/5/12 11:52,47,30052070
4/9/12 13:54,94,30051965
4/9/12 13:54,94,30051965
4/5/12 13:08,73,30051841
4/23/12 14:08,79,30051569
4/10/12 12:47,69,30051106
4/4/12 13:38,154,30050710
4/4/12 12:51,5,30050496
4/18/12 12:53,41,30049829
4/18/12 12:54,41,30049829
4/12/12 11:16,47,30049456
4/9/12 13:23,107,30049340
4/19/12 11:18,9,30047401
4/4/12 13:15,201,30047153
4/17/12 13:04,43,30046395
4/12/12 13:16,181,30046056
4/24/12 14:12,181,30045918
4/24/12 14:12,181,30045918
4/5/12 12:53,89,30044366
4/11/12 9:57,44,30042956
4/11/12 9:57,44,30042956
4/12/12 13:15,89,30042725
4/9/12 11:15,201,30041982
4/5/12 10:22,28,30041321
4/3/12 8:18,184,30041131
4/3/12 13:28,115,30040976
4/24/12 14:26,143,30040943
4/24/12 14:26,143,30040943
4/18/12 10:06,184,30040539
4/24/12 13:29,96,30040000
4/4/12 11:47,201,30039630
4/3/12 11:28,96,30039572
4/4/12 11:45,201,30039523
4/6/12 14:09,55,30039457
4/6/12 14:09,55,30039457
4/4/12 11:46,201,30039390
4/4/12 11:46,201,30039267
4/3/12 8:18,184,30039150
4/9/12 11:58,201,30039150
4/4/12 11:46,201,30038970
4/24/12 12:45,88,30038863
4/19/12 11:17,45,30038368
4/5/12 12:50,56,30038152
4/11/12 10:00,44,30037964
4/18/12 12:38,108,30037782
4/3/12 8:18,184,30037154
4/19/12 13:15,88,30036941
4/12/12 14:09,129,30036214
4/3/12 8:15,184,30035497
4/13/12 14:20,17,30034698
4/12/12 12:50,23,30034474
4/12/12 11:09,30,30034011
4/12/12 11:09,30,30034011
4/12/12 11:09,30,30034011
4/16/12 13:02,24,30033971
4/10/12 12:04,184,30033344
4/23/12 14:12,100,30032908
4/12/12 12:54,92,30031165
4/12/12 12:43,52,30030589
4/11/12 10:00,44,30028898
4/9/12 13:05,56,30028484
4/3/12 8:16,184,30028260
4/16/12 14:18,37,30027775
4/4/12 11:46,201,30027585
4/6/12 14:19,38,30027148
4/11/12 15:12,221,30026330
4/11/12 15:12,221,30026330
4/6/12 13:50,1047,30026249
4/6/12 14:16,17,30025811
4/17/12 13:00,75,30024764
4/18/12 12:54,5,30023964
4/12/12 12:48,84,30023824
4/12/12 12:44,52,30023675
4/5/12 13:40,100,30023501
4/18/12 10:06,184,30022644
4/9/12 14:43,198,30022495
4/4/12 11:44,201,30021059
4/5/12 11:51,47,30019863
4/10/12 13:08,43,30019434
4/23/12 12:56,184,30019400
4/16/12 13:10,75,30019335
4/3/12 14:18,125,30019020
4/12/12 11:10,45,30018972
4/10/12 13:07,21,30018873
4/11/12 9:47,103,30018261
4/3/12 8:11,184,30017081
4/13/12 14:15,16,30016794
4/3/12 8:19,184,30016406
4/4/12 11:45,201,30016398
4/4/12 11:45,201,30016356
4/3/12 8:19,184,30016349
4/4/12 11:45,201,30016331
4/4/12 11:46,201,30015416
4/4/12 11:46,201,30015341
4/9/12 13:14,97,30014807
4/9/12 13:14,97,30014807
4/4/12 13:05,200,30013247
4/5/12 13:05,42,30013106
4/4/12 10:28,63,30012280
4/5/12 11:15,30,30011332
4/23/12 14:09,79,30011233
4/5/12 11:47,212,30010185
4/3/12 8:19,184,30009963
4/17/12 14:14,129,30009930
4/4/12 11:45,201,30009237
4/16/12 9:40,170,30007249
4/3/12 8:16,184,30007116
4/19/12 11:15,46,30004964
4/3/12 8:17,184,30004360
4/11/12 16:51,201,30004139
4/3/12 8:13,184,30002646
4/5/12 12:50,84,30002232
4/5/12 12:50,84,30002232
4/12/12 12:53,109,30000673
4/16/12 14:18,79,22236335
4/5/12 11:14,29,22235030
4/3/12 8:16,184,22233241
4/4/12 10:09,119,22232920
4/11/12 9:26,103,22232508
4/18/12 12:52,41,22232490
4/5/12 11:18,50,22232227
4/11/12 9:59,44,22232219
4/17/12 13:05,43,22232029
4/18/12 12:53,5,22232011
4/3/12 8:14,184,22231815
4/18/12 10:04,184,22231237
4/4/12 13:15,201,22230585
4/3/12 8:16,184,22229488
4/9/12 11:14,201,22227037
4/5/12 11:18,50,22225999
4/5/12 12:50,84,22225502
4/4/12 12:44,116,22223382
4/4/12 12:44,116,22223382
4/3/12 8:21,184,22223044
4/3/12 8:21,184,22222962
4/3/12 8:21,184,22222889
4/3/12 8:20,184,22222806
4/3/12 8:21,184,22222723
4/3/12 8:17,184,22222608
4/3/12 8:17,184,22222459
4/18/12 8:26,184,22222210
4/18/12 8:26,184,22222210
4/18/12 10:05,184,22222046
4/11/12 9:29,103,22221022
4/9/12 13:05,227,22219448
4/4/12 12:40,105,22219091
4/3/12 8:21,184,22218499
4/3/12 8:11,184,22218226
4/12/12 9:44,40,22217293
4/5/12 14:33,196,22217079
4/9/12 14:18,83,20832218
4/9/12 11:15,201,20832143
4/3/12 8:20,184,20832135
4/10/12 12:05,184,20831160
4/10/12 13:09,72,20830840
4/12/12 12:50,23,20830592
4/5/12 12:51,104,19889948
4/18/12 12:55,70,19889245
4/17/12 13:21,89,19889070
4/5/12 13:31,134,19886811
4/5/12 13:31,134,19886811
4/23/12 14:12,100,19884899
4/19/12 13:20,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/19/12 13:21,170,19883867
4/11/12 10:07,16,19882364
4/16/12 14:19,102,19881994
4/19/12 10:56,229,19880889
4/19/12 10:56,229,19880798
4/19/12 10:56,229,19880798
4/23/12 12:55,184,19880772
4/23/12 12:56,184,19880772
4/23/12 12:56,184,19880772
4/16/12 14:19,102,19880673
4/19/12 10:56,229,19880251
4/9/12 11:15,201,19877570
4/9/12 11:14,201,19877497
4/23/12 12:35,40,19877232
4/24/12 10:23,198,19876945
4/11/12 9:40,103,19876895
4/3/12 8:17,184,19876598
4/18/12 10:05,184,19876341
4/18/12 10:05,184,19876184
4/23/12 14:09,37,19876150
4/18/12 10:04,184,19875574
4/18/12 10:05,184,19875558
4/3/12 10:18,201,19875186
4/3/12 10:18,201,19875186
4/6/12 14:06,20,19874866
4/18/12 10:04,184,19874056
4/18/12 10:04,184,19873751
4/9/12 11:14,201,19873561
4/9/12 11:13,201,19873488
4/9/12 11:14,201,19873488
4/3/12 8:19,184,19873231
4/9/12 11:14,201,19872795
4/9/12 11:14,201,19872712
4/3/12 8:15,184,19872555
4/3/12 8:14,184,19872472
4/9/12 13:55,94,19872431
4/9/12 14:43,198,19005461
4/23/12 14:14,103,19004902
4/10/12 13:07,21,19003797
4/24/12 12:59,2,19003623
4/24/12 12:47,43,19003383
4/5/12 11:07,46,19003201
4/5/12 11:07,46,19003201
4/5/12 11:07,46,19001155
4/3/12 8:16,184,19001064
4/18/12 12:51,5,19000355
4/17/12 14:24,177,19000017
4/12/12 12:50,23,18999896
4/19/12 13:09,87,18999557
4/5/12 9:08,175,18999532
4/4/12 12:51,39,18999441
4/11/12 10:05,103,18998088
4/13/12 12:11,102,18996405
4/9/12 14:19,102,18996165
4/13/12 13:09,218,18994210
4/13/12 13:09,218,18994137
4/13/12 13:09,218,18994137
4/13/12 13:09,218,18994137
4/4/12 12:38,76,18992164
4/23/12 13:24,91,18991638
4/4/12 12:46,102,18991570
4/4/12 12:44,116,18991505
4/11/12 9:14,62,18991497
4/5/12 11:08,29,18991430
4/4/12 12:44,116,18991273
4/13/12 14:22,34,18991190
4/4/12 12:46,102,18991174
4/13/12 14:22,34,18991125
4/4/12 12:46,102,18991125
4/12/12 11:16,47,18990960
4/4/12 12:46,102,18990960
