timestamp,accession
4/18/2012 14:58:03,30104467
4/4/2012 14:57:05,30104673
4/13/2012 14:50:30,30104681
4/17/2012 14:55:50,30105209
4/12/2012 15:01:25,30105456
4/13/2012 14:50:30,30105639
4/16/2012 14:50:28,30105852
4/13/2012 14:49:22,30106132
4/23/2012 9:38:16,30106132
4/12/2012 14:50:39,30106140
4/23/2012 14:52:21,30106140
4/12/2012 15:01:25,30106538
4/13/2012 14:50:12,30106561
4/4/2012 9:52:50,30106660
4/12/2012 14:59:19,30106900
4/12/2012 14:59:19,30106934
4/4/2012 14:57:05,30107239
4/13/2012 14:50:12,30107296
4/3/2012 14:57:51,30107486
4/4/2012 9:47:09,30107486
4/3/2012 14:23:42,30107494
4/19/2012 14:50:09,30107569
4/9/2012 14:54:53,30107585
4/3/2012 14:51:02,30108468
4/11/2012 10:53:56,30108476
4/10/2012 14:47:30,30108500
4/24/2012 14:56:44,30108666
4/10/2012 14:51:52,30108757
4/11/2012 10:53:13,30108757
4/12/2012 15:02:00,30108807
4/17/2012 10:21:24,30109011
4/5/2012 14:51:18,30109490
4/23/2012 14:52:21,30109615
4/16/2012 14:49:18,30109664
4/9/2012 11:22:19,30109714
4/24/2012 14:56:17,30110225
4/3/2012 14:53:09,30110431
4/4/2012 14:51:46,30110555
4/5/2012 14:53:00,30110852
4/17/2012 14:49:04,30110852
4/10/2012 14:51:52,30110928
4/11/2012 10:53:13,30110928
4/10/2012 14:51:15,30110985
4/11/2012 10:53:56,30110985
4/23/2012 14:54:09,30111165
4/18/2012 14:52:36,30111223
4/11/2012 10:52:07,30111306
4/12/2012 14:54:55,30111405
4/18/2012 14:53:58,30111413
4/17/2012 14:50:57,30111538
4/12/2012 14:53:50,30111702
4/3/2012 14:54:16,30112015
4/16/2012 14:49:18,30112437
4/19/2012 9:53:12,30112932
4/19/2012 9:51:54,30113120
4/19/2012 9:52:13,30113120
4/19/2012 9:52:13,30113120
4/19/2012 9:52:13,30113120
4/16/2012 14:49:18,30113336
4/19/2012 9:51:54,30113369
4/19/2012 9:52:13,30113369
4/19/2012 9:52:13,30113369
4/19/2012 9:52:13,30113369
4/16/2012 14:49:18,30113393
4/17/2012 14:50:57,30113427
4/16/2012 14:49:18,30113542
4/10/2012 14:51:52,30113948
4/11/2012 10:51:09,30113948
4/5/2012 8:33:04,30114086
4/9/2012 14:56:07,30114136
4/3/2012 15:02:02,30114235
4/4/2012 9:52:10,30114235
4/11/2012 10:54:16,30114326
4/23/2012 14:54:46,30114540
4/24/2012 14:52:56,30115059
4/12/2012 15:00:39,30115406
4/24/2012 14:56:17,30115687
