checked_in_on,accession
4/30/2012 11:17:07,30115471
4/30/2012 11:17:14,30115471
5/10/2012 14:52:26,30116255
5/1/2012 14:53:06,30116370
5/1/2012 13:58:44,30116677
5/1/2012 13:59:06,30116677
5/1/2012 13:59:06,30116677
5/1/2012 13:59:07,30116677
5/1/2012 13:59:06,30116677
5/1/2012 13:59:06,30116677
5/1/2012 13:59:07,30116677
5/1/2012 8:44:08,30116701
5/10/2012 14:49:44,30116917
5/11/2012 10:05:10,30117006
5/3/2012 14:51:42,30117550
5/11/2012 10:05:47,30117774
5/9/2012 14:55:46,30117790
4/30/2012 11:25:08,30117790
5/4/2012 14:48:51,30117816
5/4/2012 14:49:08,30117816
5/10/2012 14:49:16,30118178
5/1/2012 14:53:06,30118178
5/9/2012 14:54:01,30118467
5/10/2012 14:51:13,30118590
5/3/2012 14:52:05,30118871
4/26/2012 14:50:42,30119226
5/3/2012 14:51:42,30119275
5/9/2012 14:55:25,30119408
5/9/2012 14:49:01,30119457
5/9/2012 14:53:49,30119515
5/8/2012 14:54:56,30119770
5/9/2012 14:55:46,30120059
5/1/2012 13:14:18,30120182
5/8/2012 14:57:25,30120182
4/26/2012 14:48:24,30120240
5/2/2012 14:55:22,30120240
5/8/2012 14:03:27,30120455
5/8/2012 14:03:31,30120455
4/25/2012 14:54:23,30120661
5/9/2012 14:49:01,30120794
5/3/2012 14:51:15,30120950
5/1/2012 14:52:40,30121305
4/26/2012 14:49:37,30121586
5/8/2012 14:54:56,30121792
4/30/2012 11:17:07,30122097
4/30/2012 11:17:14,30122097
5/1/2012 8:54:43,30122188
5/9/2012 14:54:41,30122352
5/9/2012 14:54:41,30122352
5/9/2012 14:54:17,30122352
4/25/2012 14:52:33,30122543
5/8/2012 14:54:29,30122592
5/8/2012 14:03:27,30122717
5/8/2012 14:03:31,30122717
5/4/2012 14:51:42,30122915
5/8/2012 14:03:27,30123061
5/8/2012 14:03:31,30123061
5/8/2012 14:56:23,30123285
5/1/2012 8:53:30,30123384
4/30/2012 11:22:13,30123392
5/1/2012 13:08:37,30123483
5/9/2012 14:56:41,30123608
5/8/2012 14:57:43,30123681
4/26/2012 14:44:45,30123814
5/9/2012 14:53:49,30123996
