Timestamp,Library Card Number,Accession Number
3/16/2012 14:18:32,0017,30059653
3/16/2012 14:18:23,0017,30073316
2/10/2012 15:23:01,0017,30077630
1/26/2012 13:59:18,0017,30080659
1/26/2012 13:59:42,0017,30080659
2/17/2012 15:17:38,0017,30082747
2/17/2012 15:18:47,0017,30082747
3/16/2012 14:18:17,0017,30091649
2/16/2012 13:41:32,0017,30091656
2/10/2012 15:24:34,0017,30093546
2/24/2012 15:18:54,0017,30105175
3/6/2012 13:54:55,0017,30110266
1/27/2012 15:22:05,0017,30110555
2/10/2012 15:23:25,0017,30121883
2/17/2012 15:19:02,0017,30133417
2/10/2012 15:22:40,0017,30133474
1/27/2012 15:21:14,0017,30133599
1/27/2012 15:21:24,0017,30133599
2/3/2012 15:16:36,0017,30134290
2/13/2012 15:34:46,0018,18991703
1/23/2012 13:43:07,0018,30059653
2/10/2012 14:06:26,0018,30077747
2/1/2012 13:43:49,0018,30078216
2/3/2012 15:16:54,0018,30078273
2/10/2012 15:18:56,0018,30110498
1/26/2012 13:37:38,0018,30110555
1/27/2012 15:08:10,0018,30119457
2/1/2012 13:43:36,0018,30119630
2/13/2012 13:54:22,0018,30126262
2/1/2012 13:44:00,0018,30131148
1/23/2012 13:43:06,0018,30135909
3/9/2012 15:15:05,0019,22218051
3/2/2012 15:15:26,0019,30012728
3/2/2012 15:11:20,0019,30031025
1/27/2012 15:08:46,0019,30059653
3/16/2012 14:05:05,0019,30066559
3/9/2012 15:15:20,0019,30077598
3/6/2012 13:46:04,0019,30079636
2/3/2012 15:18:56,0019,30082606
2/10/2012 15:17:21,0019,30083018
2/3/2012 15:41:07,0019,30083075
3/15/2012 8:34:55,0019,30083208
1/27/2012 15:08:58,0019,30091649
2/24/2012 15:04:19,0019,30091656
3/5/2012 11:24:03,0019,30133680
3/5/2012 11:24:09,0019,30133680
2/10/2012 15:17:05,0019,30134431
2/3/2012 15:19:51,0019,30137418
2/10/2012 15:20:23,0020,30072409
3/16/2012 14:18:05,0020,30080618
1/27/2012 15:17:32,0020,30110803
2/3/2012 15:14:41,0020,30117691
2/14/2012 14:09:05,0021,18999086
1/24/2012 13:57:06,0021,19001395
2/28/2012 14:07:37,0021,22227656
1/24/2012 13:41:53,0021,22232797
3/15/2012 10:22:01,0021,22232805
2/7/2012 13:42:03,0021,30003297
3/13/2012 12:47:47,0021,30014229
3/13/2012 12:48:26,0021,30037972
3/13/2012 12:48:38,0021,30043194
2/7/2012 13:51:29,0021,30054886
2/28/2012 14:07:31,0021,30056907
1/31/2012 13:52:17,0021,30068514
1/31/2012 13:51:56,0021,30095608
2/7/2012 13:42:20,0021,30106348
1/24/2012 13:41:34,0021,30112619
1/24/2012 14:00:46,0021,30115042
1/31/2012 13:56:41,0021,30116727
3/15/2012 10:29:10,0021,30129613
2/14/2012 14:08:45,0021,30138481
2/29/2012 13:59:46,0022,19873850
2/29/2012 13:58:09,0022,19878362
2/15/2012 13:58:30,0022,22231609
2/29/2012 13:59:13,0022,22234496
2/15/2012 14:01:28,0022,30015846
2/22/2012 13:56:07,0022,30046908
2/22/2012 13:55:40,0022,30046957
1/25/2012 13:54:28,0022,30055180
1/25/2012 13:55:29,0022,30056667
1/25/2012 13:54:50,0022,30070601
2/8/2012 14:02:23,0022,30084164
2/22/2012 13:57:41,0022,30094866
1/25/2012 13:55:02,0022,30108757
2/15/2012 14:00:23,0022,30109771
2/22/2012 13:57:00,0022,30127716
1/25/2012 13:55:39,0022,30136568
3/1/2012 13:39:56,0023,22222145
3/1/2012 13:40:08,0023,22222145
2/23/2012 13:51:11,0023,30008189
3/15/2012 13:07:06,0023,30024566
2/23/2012 13:51:41,0023,30030548
2/2/2012 13:49:09,0023,30045660
3/15/2012 10:38:19,0023,30078646
2/23/2012 13:51:32,0023,30082077
1/26/2012 14:00:50,0023,30104434
2/23/2012 13:51:19,0023,30119028
2/16/2012 13:49:47,0023,30133805
2/9/2012 13:59:42,0023,30136709
2/28/2012 12:52:35,0024,19881846
3/5/2012 14:03:32,0024,30031843
2/21/2012 14:04:01,0024,30062384
2/15/2012 13:57:24,0024,30110738
3/12/2012 12:53:27,0024,30133359
2/27/2012 14:05:49,0024,30138366
2/27/2012 14:06:28,0024,30138366
2/21/2012 12:52:30,0024,33614031968638
3/1/2012 14:00:04,0025,22218820
3/1/2012 13:59:45,0025,22221030
3/1/2012 14:00:15,0025,22221030
2/23/2012 13:53:52,0025,30008254
1/26/2012 14:01:53,0025,30044002
3/1/2012 14:00:25,0025,30084222
2/9/2012 14:03:08,0025,30112387
2/16/2012 14:06:30,0025,30118061
2/16/2012 14:06:12,0025,30124887
2/28/2012 12:53:28,0025,30131452
3/7/2012 11:44:15,0025,30133144
2/2/2012 13:44:53,0026,30008569
2/9/2012 13:43:10,0026,30083380
1/26/2012 14:00:18,0026,30102008
2/23/2012 13:51:56,0026,30131379
3/1/2012 13:36:28,0026,30137764
2/9/2012 12:12:31,0027,30065296
3/15/2012 11:14:52,0027,30111967
3/15/2012 11:14:48,0027,30119044
2/29/2012 14:02:14,0027,30130249
3/15/2012 11:19:51,0028,19879212
1/25/2012 13:41:51,0028,30080923
2/23/2012 12:19:38,0028,30132542
2/16/2012 12:06:24,0028,30134282
3/15/2012 11:20:08,0029,18990952
2/16/2012 12:11:43,0029,30007520
2/23/2012 12:18:24,0029,30016513
1/26/2012 12:20:02,0029,30038368
2/16/2012 12:06:50,0029,30065528
2/2/2012 12:13:24,0029,30103519
2/2/2012 12:13:16,0029,30113179
1/26/2012 12:18:03,0030,19881820
2/9/2012 12:16:32,0030,19881911
2/23/2012 12:17:13,0030,30055164
