checkin_time,accession
5/23/2012 14:52:57,30105761
5/23/2012 14:52:57,30109490
5/23/2012 14:52:57,30118590
5/23/2012 14:52:57,30128490
5/23/2012 14:53:37,18994400
5/23/2012 14:53:37,30018352
5/23/2012 14:53:37,30075444
5/23/2012 14:53:37,30095475
5/23/2012 14:53:37,30105399
5/23/2012 15:02:05,30064851
5/23/2012 15:02:05,30069504
5/23/2012 15:02:05,30140222
